0	2	2512
1	2	3663
2	2	2965
3	2	4575
4	2	813
5	0	2149
5	1	4875
6	0	949
6	1	4875
7	2	1750
8	0	2149
8	1	1369
9	2	1174
10	2	3812
11	2	2086
12	2	2928
13	0	1092
13	1	1369
14	2	2382
15	0	2149
15	1	1750
16	2	413
17	2	3133
18	2	3526
19	2	181
20	2	1294
21	2	467
22	2	156
23	2	2306
24	2	346
25	2	531
26	2	1636
27	2	1848
28	2	4131
29	2	3415
30	0	2149
30	1	3056
31	2	5058
32	0	1301
32	1	4801
33	2	4140
34	0	4738
34	1	413
35	2	3422
36	0	949
36	1	413
37	2	1881
38	0	949
38	1	328
39	2	4674
40	2	3156
41	2	127
42	2	2855
43	0	5024
43	1	4875
44	2	4021
45	2	4537
46	0	2149
46	1	2928
47	2	5096
48	2	1542
49	0	2149
49	1	1251
50	2	264
51	0	2173
51	1	328
52	0	25
52	1	1369
53	2	327
54	2	2592
55	2	4524
56	2	207
57	0	2149
57	1	1657
58	2	4748
59	0	4722
59	1	1369
60	2	3909
61	0	1092
61	1	119
62	0	1092
62	1	2928
63	0	949
63	1	1251
64	2	4152
65	2	702
66	2	1578
67	0	2885
67	1	4801
68	0	4627
68	1	4875
69	2	4136
70	2	4227
71	2	4742
72	2	2020
73	0	949
73	1	1799
74	0	949
74	1	4002
75	2	68
76	2	1271
77	2	3301
78	0	1533
78	1	4875
79	0	2818
79	1	4875
80	2	2553
81	0	949
81	1	3661
82	0	4722
82	1	2978
83	0	3777
83	1	4875
84	2	2869
85	0	4999
85	1	1369
86	0	551
86	1	1174
87	0	674
87	1	328
88	0	949
88	1	2306
89	2	1120
90	2	240
91	0	2149
91	1	1578
92	2	5037
93	2	1849
94	0	1534
94	1	4002
95	2	4995
96	0	2149
96	1	3792
97	0	25
97	1	3663
98	0	4722
98	1	119
99	0	4722
99	1	4002
100	0	1534
100	1	1750
101	2	1838
102	2	3708
103	0	893
103	1	1750
104	2	1963
105	2	374
106	0	1314
106	1	3699
107	2	1057
108	2	3259
109	0	949
109	1	1562
110	2	39
111	2	901
112	2	5157
113	0	496
113	1	3056
114	2	1217
115	0	1533
115	1	156
116	0	125
116	1	4410
117	0	25
117	1	1657
118	0	4722
118	1	4575
119	2	5099
120	2	4041
121	0	2173
121	1	1325
122	0	2149
122	1	2385
123	0	2173
123	1	156
124	2	270
125	2	4840
126	2	4099
127	0	551
127	1	4575
128	2	2503
129	0	949
129	1	4575
130	2	2725
131	2	2466
132	2	1430
133	0	949
133	1	1578
134	2	2894
135	0	960
135	1	328
136	0	3379
136	1	4801
137	0	2140
137	1	1750
138	2	2253
139	0	2173
139	1	3906
140	2	3749
141	0	2149
141	1	3699
142	0	2149
142	1	2897
143	0	3777
143	1	3663
144	0	551
144	1	1562
145	0	4999
145	1	156
146	2	4986
147	2	3151
148	0	4738
148	1	328
149	0	3324
149	1	1750
150	2	352
151	0	949
151	1	3831
152	0	2353
152	1	2852
153	0	4722
153	1	1657
154	0	2149
154	1	781
155	0	674
155	1	1750
156	2	4860
157	0	949
157	1	2928
158	2	292
159	2	3469
160	0	275
160	1	5005
161	0	4738
161	1	2978
162	0	1819
162	1	3036
163	0	5024
163	1	4801
164	0	5024
164	1	3056
165	0	125
165	1	2978
166	0	551
166	1	2978
167	2	2961
168	2	2245
169	2	773
170	0	1579
